id	name	set	politics_cost	intrigue_cost	one_power_cost	combat_cost	type	subtype_allegiance	attribute	politics_ability	intrigue_ability	one_power_ability	combat_ability	rarity	collector	text	flavor	artist
deep_waters	Deep Waters	dark_prophecies					Event		Terrain					Uncommon	02-025 U	Target a card-based challenge.  Only one terrain card may target each challenge.  Myrddraal, Trolloc characters, and Trolloc troops may not participate in the target challenge.		
defenders_of_the_stone	Defenders of the Stone	dark_prophecies	1				Troop	Tear	Reinforcement				5	Uncommon	02-026 U	As an event, you may move this troop from your homefront to the battleground.  This troop may only participate in the Tear nation contested challenge or in a challenge that targets you or a card you control.		
dragonmount	Dragonmount	dark_prophecies					Advantage	Player						Common	02-027 C	May only be played if you control the Dragon Reborn.  Search your deck for the first advantage card and place it in your hand when you play this card.  During the Opening Moves and Coming to Grips steps of a card-based challenge, you may remove an amount of damage from any character or troop damage pool up to the number of different allegiances possessed by characters and troops you control.		
draw_him_out	Draw Him Out	dark_prophecies					Challenge							Common	02-028 C	Target a non-starting, non-Ta'veren character you do not control.  If this challenge succeeds it becomes a character advantage on the target with the following text: At the start of the resolution round the target is moved to the battleground and becomes a participant in the Pattern or Last Battle Challenge (and is no longer a participant in any other challenges).  Discard this card if the target is a particpant in the Pattern Challenge during the action round.		
elayne_the_accepted	Elayne the Accepted	dark_prophecies					Character	Andor, Aes Sedai	Daughter-Heir, Accepted, Light Nature, Bonded to Birgitte	3	1	2		Rare 2	02-029 R2	Replace Elayne Trakand.  As an event, rotate to search your deck for Min and/or Aviendha and place them in your hand.  This card does not count as a character card for starting hand selection purposes.		
eyeless	Eyeless	dark_prophecies			1	1	Character	Dark One	Multiple, Monster, Myrddraal				3	Uncommon	02-030 U	Symbols generated by this character may not be used for recruiting.  As a limited event, rotate and target a character or troop participating in a challenge.  The target rolls one less die than normal for each ability.		
faile	Faile	dark_prophecies	1	1		1	Character	Dragon	Borderland, Saldaean, Hunter of the Horn	2	2		1	Rare 1	02-031 R1	The number of tokens on your section of the pattern is treated as being 2 higher, but only for purposes of fulfilling character recruitment and replacement requirements.		
far_dareis_mai	Far Dareis Mai	dark_prophecies				1	Troop	Aiel	Reinforcement, Maiden of the Spear				3	Uncommon	02-032 U	Once per turn, as an event, you may target a character you control with the Car'a'carn character advantage participating in the same challenge as this troop to move up to 3 damage from the target to this troop.		
first_squadron	First Squadron	dark_prophecies	1			1	Troop	Dragon	Band of the Red Hand, Reinforcement				3	Uncommon	02-033 U	This troop gains +1 Combat for every 3 Band of the Red Hand troops you control.  All Band of the Red Hand troops you control have Reinforcement.		
galad	Galad	dark_prophecies	2			2	Character	Andor, Children of the Light		1			4	Rare 2	02-034 R2	While participating in a challenge, Galad additionally generates [2x Damage Icon] when he rolls his dice.		
gawyn	Gawyn	dark_prophecies	1			2	Character	Andor	Light Nature	1	1		3	Rare 2	02-035 R2	Ability symbols with the Aes Sedai allegiance may be used to recruit Gawyn without causing an allegiance penalty.  Gawyn may participate in the Tar Valon contested challenge.  If you control The Younglings, they have +1 Combat.		
genocide	Genocide	dark_prophecies					Challenge							Rare 3	02-036 R3	Choose an allegiance. When it is revealed, this challenge gains additional opposition equal to the number of cards in play with the chosen allegiance. If successful, place 1 point of damage on each character and 2 points of damage on each troop with the chosen allegiance. When this challenge revolves it is removed from play, and the initiator may not play a copy of this challenge next turn. Any character card damaged by Genocide may not rotate to heal next turn. [08.21.2001 - ERRATA]		
gholam_attack	Gholam Attack	dark_prophecies					Event	Limited						Uncommon	02-037 U	This card may only be played by a Villain player.  Target a challenge and pay any amount of [Intrigue].  For each [Intrigue] you pay, target a different character participating in the challenge.  The targeted characters may not roll One Power dice in that challenge.		
graendal_ii	Graendal (II)	dark_prophecies			4		Character	Dark One	Forsaken	3	3	4		Rare 1	02-038 R1	Only ability symbols generated by a Forsaken may be used to recruit this character.  Symbols generated by this character may not be used to recruit.  When Graendal rotates to heal, you may reveal any number of cards in your hand with the name Graendal.  For each card revealed, remove an additional point of damage from Graendal.  As an event, discard from your hand to remove up to 2 damage from your starting character.
gyldin	Gyldin	dark_prophecies					Advantage	Character						Rare 2	02-039 R2	Target Moghedien.  Moghedien gains +1 Intrigue.  As a limited event, Moghedien may pay [Intrigue] to generate either [Politics] or [Combat].  As an event, rotate Moghedien and discard this card to return a challenge card from your discard pile to your hand.		
half_legion	Half Legion	dark_prophecies				1	Troop	Children of the Light	Multiple, Reinforcement				3	Common	02-040 C	Once per turn, as an event, you may rotate a character you control with the Children of the Light allegiance and target this troop to give this troop +1 Combat until the end of the turn.		
heart_of_the_stone	Heart of the Stone	dark_prophecies					Advantage	Player						Common	02-041 C	All High Lords and High Ladies you control additionally generate [Support] [Opposition] when they roll their dice.  If you control the Callandor character advantage, all challenges which target you or a card you control gain 5 additional opposition.		
high_lord_hearne	High Lord Hearne	dark_prophecies	1			1	Character	Tear		2			1	Uncommon	02-042 U	The cost of recruiting Mercenary characers and troops is reduced by [Combat] (This reduction applies after all other modifiers.)		
high_lord_simaan	High Lord Simaan	dark_prophecies	1	1			Character	Tear		1	1			Uncommon	02-043 U	Put 2 versatility tokens on this card when it is first recruited.  As an event, remove a versatility token to give High Lord Simaan +1 to either Politics or Intrigue (until the end of the turn).  As a limited event, rotate to add 2 versatility tokens to this card.  This card may not have more than 4 versatility tokens on it at any one time.  [06.27.2000 - ERRATA]		
hopper	Hopper	dark_prophecies				1	Character	Mercenary	Reinforcement, Wolf				3	Uncommon	02-044 U	You must control a Wolfbrother to bring Hopper into play.  Discard Hopper if you do not control a Wolfbrother.  Hopper cannot be the target of advantages.  Ability symbols generated by Hopper are ignored.  If Hopper is placed in a killed pile, all Wolfbrothers you control permanently gain the trait Dreamwalker.		
hunting_party	Hunting Party	dark_prophecies				2	Troop	Aiel	Multiple				4	Common	02-045 C	As an event, you may remove [2x Damage] generated by this troop from your troop damage pool to add [Damage] to your character damage pool.		
illian	Illian	dark_prophecies					Advantage	World	Nation Contested Advantage					Uncommon	02-046 U	If you control Illian, as an event you may rotate this card to target an Illian troop you control.  If the target rotates to heal this turn, remove all damge from it.  If you control Illian by 5 or more, you may rotate characters as you recruit them and roll their dice to generate ability symbols.  These symbols are added to your pool.		
illian_lancers	Illian Lancers	dark_prophecies				1	Troop	Illian	Multiple				4	Common	02-047 C	All damage generated by this troop must be assigned to a single opposing troop (even if this would be more damage than is required to kill the opposing troop).		
illian_spearmen	Illian Spearmen	dark_prophecies				1	Troop	Illian	Multiple				3	Common	02-048 C	As an event, rotate this card while at the battleground to remove 1 point of damage from it.		
illian_traders	Illian Traders	dark_prophecies	1				Troop	Illian					3	Uncommon	02-049 U	As a limited event, rotate to add [2x Politics] to your pool.  These symbols have the Illian allegaince.		
illian_volunteers	Illian Volunteers	dark_prophecies	1				Troop	Illian					2	Uncommon	02-050 U	When this troop is killed return it to its owner's hand.		
incendiary_strike	Incendiary Strike	dark_prophecies			3		Event							Uncommon	02-051 U	Play during the Opening Moves or Coming to Grips step of a challenge.  Target a character or troop participating in that challenge.  Put two points of damage on the target.  If the target is Multiple, place it in its owner's killed pile.  A card may only be the target of Incendiary Strike once per turn.		
invasion	Invasion	dark_prophecies					Challenge							Rare 3	02-052 R3	If successful, choose one of the following: add 4 tokens to a nation contested advantage, draw 3 cards, or take up to 2 cards (of your choice) from your discard pile and place them in your hand.   This challenge is removed from play after it resolves. [09.06.2000 - ERRATA]		
ishamael_ii	Ishamael (II)	dark_prophecies			4		Character	Dark One	Forsaken	1	2	5	1	Rare 1	02-053 R1	Only ability symbols generated by a Forsaken may be used to recruit this character.  Symbols generated by this character may not be used for recruiting.  As an event, rotate to add a token to a contested advantage, or rotate and discard from play to add 5 tokens to a contested advantage.  As an event, discard from your hand to add a token to a contested advantage.
jaret_byar	Jaret Byar	dark_prophecies				1	Character	Children of the Light					2	Uncommon 1	02-054 U1	While participating in a challenge against a monster, or a character or troop with the Aes Sedai allegiance, Jaret Byar additionally generates [Damage] when he rolls his dice.		
kin_tovere	Kin Tovere	dark_prophecies		2			Character	Dragon, Cairhien			1			Uncommon	02-055 U	As an event, rotate to give all Cairhien troops you control Reinforcement for the rest of the turn.		
king_mattin_stepaneos	King Mattin Stepaneos	dark_prophecies	3	1		1	Character	Illian	King of Illian	3	1		2	Rare 2	02-056 R2	When you recruit this card, you may search your deck for the Illian nation contested advantage and place it in your hand.  The King of Illian gains +1 Politics, Intrigue, and Combat while you control the Illian nation contested advantage.		
lady_selande	Lady Selande	dark_prophecies					Character	Cairhien			2			Uncommon	02-057 U	The only cost to recruit this character is to rotate a character you control with the Cairhien allegiance.  If you control the Cairhien nation contested advantage, Lady Selande additionally generates [Politics] when she rolls her dice.		
lanfear_ii	Lanfear (II)	dark_prophecies			4		Character	Dark One	Forsaken, Dreamwalker	2	2	5		Rare 1	02-058 R1	Only ability symbols generated by a Forsaken may be used to recruit this character.  Symbols generated by this character may not be used to recruit.  While Lanfear is participating in a challenge, if a participant whose highest permanent ability is 2 or less receives exactly 1 damage from a damage pool.  It takes an extra point of damage.  As an event, discard from your hand to remove all damage from a Dreamwalker.
lead_them_to_ruin	Lead Them to Ruin	dark_prophecies					Challenge							Common	02-059 C	Target a player.  For each 2 by which this challenge succeeds, the target must return to his hand a player advantage he controls (of his choice) with a printed cost.		
leader_of_nations	Leader of Nations	dark_prophecies					Advantage	Character						Common	02-060 C	Target a Ta'veren you control.  Choose an allegiance of a troop you control (if any).  The target gains +2 Politics and the chosen allegiance.  Discard this card if you control a non-Ta'veren character or troop with only the Dragon allegiance.		
leane_sedai	Leane Sedai	dark_prophecies	2	1	2		Character	Aes Sedai	Blue Ajah, Keeper of the Chronicles	3	2	2		Rare 2	02-061 R2	As an event, rotate to draw 1 card, or 2 cards if you control the Amyrlin Seat.  When you use this ability, discard your entire hand at the end of the resolution round.		
legion	Legion	dark_prophecies	1			2	Troop	Children of the Light	Reinforcement				6	Rare 2	02-062 R2	As a limited event, rotate and kill an undamaged troop you control with the Mercenary allegiance to remove all damage from this troop.		
legion_of_the_dragon	Legion of the Dragon	dark_prophecies	2			1	Troop	Dragon					5	Rare 3	02-063 R3	At the beginning of the ready round, you may remove 1 or 2 points of damage from this troop.		
light_brigade	Light Brigade	dark_prophecies				1	Troop	Children of the Light	Multiple, Reinforcement				2	Common	02-064 C	The Light Brigade is recruited into the battleground.  At the start of the draw round, this card is returned to its owner's hand.		
linked	Linked	dark_prophecies					Advantage	Player						Uncommon	02-065 U	All Trolloc troops you control which are participating in a challenge with 1 or more Myrddraal you control additionally generate [Support] [Opposition] when they roll their dice.  If you put a Myrddraal into your killed pile, you must kill a Monster troop you control (if possible).		
lord_argirin_darelos	Lord Argirin Darelos	dark_prophecies		2			Character	Illian	Council of Nine	2	2			Uncommon	02-066 U	As a limited event, rotate while participating in a challenge to target a character with no permanent One Power ability participating in the same challenge.  The target rotates for no effect.		
lord_ballin_elamri	Lord Ballin Elamri	dark_prophecies	1				Character	Illian	Council of Nine	2				Uncommon	02-067 U	If you control a member of the Council of Nine, there is no cost to recruit this character.		
lord_brend	Lord Brend	dark_prophecies					Advantage	Character						Rare 2	02-068 R2	Target Sammael.  Sammael gains +2 Politics, the Illian allegiance, and the Council of Nine trait.  As a limited event, discard this card to generate [3x Politics].  These symbols have the Illian allegiance.		
lord_comar	Lord Comar	dark_prophecies		1		1	Character	Andor	Dark Nature	2			2	Uncommon	02-069 U	As an event, rotate to search your deck for a Darkfriend character advantage, and place it in your hand.  You may play the Darkfriend character advantage for no cost.		
lord_dobraine	Lord Dobraine	dark_prophecies	1	1		1	Character	Cairhien	Light Nature	1	2		2	Uncommon	02-070 U	As a limited event, Lord Dobraine may pay any 2 ability symbols he generated to add [Politics], [Intrigue], or [Combat] to your pool.  These symbols have the Cairhien alelgiance.		
lord_dragon	Lord Dragon	dark_prophecies					Character	Dragon		2	1	3	2	Rare 2	02-071 R2	Replace Rand al'Thor.  This character gains the effect text of the character he replaces.  When recruiting characters, ignore the cost modification for the Dark Nature trait.  This card does not count as a character card for starting hand selection purposes.		
lord_eliris_mancuri	Lord Eliris Mancuri	dark_prophecies	1	1		1	Character	Illian	Council of Nine	2	1		2	Uncommon	02-072 U	As a limited event, rotate to reduce the cost of all characers and troops with the Illian allegiance you recruit this turn by [Combat].  (This reduction applies after all other modifiers.)		
lord_ershin_netari	Lord Ershin Netari	dark_prophecies				2	Character	Illian	Council of Nine	1			2	Uncommon	02-073 U	As an event, pay an ability symbol generated by Lord Ershin Netari to remove 1 point of damage from a troop you control with the Illian allegiance.		
lord_gregorian_panar	Lord Gregorian Panar	dark_prophecies	2				Character	Illian	Light Nature, Council of Nine	2	1		1	Rare 2	02-074 R2	As an event, rotate to give each member of the Council of Nine +1 to his highest current ability (you choose one of the tied abilities, if tied), until the end of the turn.		
lord_jeordwyn_semaris	Lord Jeordwyn Semaris	dark_prophecies	1	1			Character	Illian	Council of Nine	2	1			Uncommon	02-075 U	While participating in a contested advantage challenge, Lord Jeordwyn Semaris additionally generates [2x Support] [2x Opposition] when he rolls his dice.		
lord_kiril_drapeneos	Lord Kiril Drapeneos	dark_prophecies	1				Character	Illian	Council of Nine	2	1			Uncommon	02-076 U	If Lord Kiril Drapeneos does not generate any ability symbols when he rolls his dice, he does not ready next turn.		
lord_maringil	Lord Maringil	dark_prophecies		1		2	Character	Cairhien			2		2	Uncommon	02-077 U	As an event, rotate to remove up to 2 damage from a Cairhien troop.		
lord_spiron_narettin	Lord Spiron Narettin	dark_prophecies	1	1		2	Character	Illian	Council of Nine	1	1		3	Uncommon	02-078 U	Damage generated by Lord Spiron Narettin is converted into troop damage.		
lull_in_the_storm	Lull in the Storm	dark_prophecies					Challenge							Common	02-079 C	May only be initiated by a hero player.  Draw a card when this challenge resolves.  If any player provides support or opposition to this challenge, he draws no cards during the draw round.  If this challenge succeeds, it becomes a player advantage targeting you with the text: As a limited evnet, discard this advantage to add [Politics] [Intrigue] [2x One Power] [Combat] to your pool.  These symbols have all allegiances. [06.27.2000 - ERRATA]		
mat_the_gambler	Mat the Gambler	dark_prophecies					Character	Dragon	Ta'veren		3		2	Rare 2	02-080 R2	Replace Mat Cauthon.  You may reroll up to three of Mat's dice each turn (immediately after making his initial roll, the old results are ignored).  As an event, Mat may pay any 2 ability symbols he generated to remove 1 point of damage from himself.  Mat the Gambler also has all of the Dragon Reborn's allegiances.		
melindhra	Melindhra	dark_prophecies				1	Character	Aiel	Dark Nature, Maiden of the Spear, Shaido Aiel				3	Uncommon	02-081 U	You must have 3 pattern to recruit Melindhra.  Symbols generated by this character may not be used for recruiting.  As an event, rotate and kill Melindhra to put 1 point of damage on any character.		
military_state	Military State	dark_prophecies					Advantage	Player						Common	02-082 C	As a limited event, rotate ths card and a ready troop you control.  Roll the troop's current Combat dice.  All ability symbols generated by the troop are added to your pool.		
moghedien_ii	Moghedien (II)	dark_prophecies			3		Character	Dark One	Forsaken, Dreamwalker	1	2	4		Rare 1	02-083 R1	Only ability symbols generated by a Forsaken may be used to recruit this character.  Symbols generated by this character may not be used to recruit.  This card may be recruited if it is in your killed pile.  If a copy of this card is in your killed pile, you may recruit this card for no cost.  As an event, discard from your hand to place a point of damage on a non-starting Dreamwalker character.
narrow_pass	Narrow Pass	dark_prophecies					Event		Terrain					Common	02-084 C	Target a card-based challenge.  Only one terrain card may target each challenge.  Each player may only participate in the target challenge with a maximum of 2 characters and 2 troops.		
no_middle_ground	No Middle Ground	dark_prophecies					Challenge							Common	02-085 C	For each point by which you succeed, you may put 1 point of damage on a character or troop with the Mercenary allegiance.  If you succeed by 3 or more, gain a pattern.		
on_all_sides	On All Sides	dark_prophecies					Event	Limited						Common	02-086 C	Discard from your hand every copy of every non-Multiple character card which is currently in play.  For each card discarded, add the ability symbols listed in the card's printed cost to your pool.  These symbols have all allegiances.		
ordeith	Ordeith	dark_prophecies					Character	Mercenary		2	3		1	Rare 2	02-087 R2	Replace Padan Fain.  Ignore all non-Mercenary allegiances and corruption tokens attached to this character.  May participate in challenges with Monsters.  When Ordeith rolls [2x Intrigue], target a Monster in play (if possible).  The target is returned to its owner's hand.  As an event, reveal this card from your hand to search your deck for Padan Fain and place him in your hand.		
organize_resistance	Organize Resistance	dark_prophecies					Challenge							Common	02-088 C	If you succeed, you may remove up to 3 tokens of your choice from each contested advantage in play.		
people_of_the_dragon	People of the Dragon	dark_prophecies					Advantage	Player						Common	02-089 C	If your starting character does not have the Aiel allegiance, discard this card.  As an event, rotate to target a character with the Aiel allegiance.  Symbols generated by the target this turn may be used for recruiting.  Non-starting, non-Ta'veren characters you control with the Aiel allegiance are placed in your discard pile (instead of your killed pile) when they are killed.		
pevin	Pevin	dark_prophecies					Character	Dragon					1	Uncommon	02-090 U	The only cost to recruit this character is to rotate the Dragon Reborn.  As an event, rotate to search your deck for the Dragon Banner if it is not in play, and place it in your hand.  As a limited event, rotate and kill Pevin to recruit a character or troop with the Dragon allegiance for no cost.		
plans_within_plans	Plans Within Plans	dark_prophecies					Event							Common	02-091 C	When paying the cost of events and/or advantages, you may pay [One Power] generated by a character or troop you control with the Aes Sedai allegiance in place of the required ability symbol.  As an event, discard this card from your hand to search your deck for an event with [One Power] in its cost or effect text and place it in your hand.		
political_powerbase	Political Powerbase	dark_prophecies					Challenge							Common	02-092 C	Target a nation contested advantage you control by 5 or more.  Only characters and troops of the target's allegiance may participate in this challenge.  If successful, gain a pattern.		
preemptive_strike	Preemptive Strike	dark_prophecies				1	Advantage	Troop						Common	02-093 C	During the Opening Moves step of a challenge in which the target is participating, rotate the target and discard this card to add an amount of [Damage] to your troop damage pool equal to the target's current Combat ability.		
pull_of_the_ta_veren	Pull of the Ta'veren	dark_prophecies					Advantage	Player						Common	02-094 C	The cost of recruiting Ta'veren is reduced by [Politics]. (This reduction comes after all other cost modifiers.)  As an event, rotate this card to search your deck for the first Ta'veren character with a printed cost, and place it in your hand.  [The last text effect was removed from this card. 09.06.2000 - ERRATA]		
questioner	Questioner	dark_prophecies		1			Character	Children of the Light	Multiple	1	1			Uncommon	02-095 U	If another player recruited a character with the Dark One or Aes Sedai allegiance this turn, you may rotate this card and discard a card in your hand as an event to draw a card.		
rahvin_ii	Rahvin (II)	dark_prophecies			4		Character	Dark One	Forsaken	3	2	4		Rare 1	02-096 R1	Only ability symbols generated by a Forsaken may be used to recruit this character.  Symbols generated by this character may not be used to recruit characters and troops with the Dark One allegiance.  As an event, rotate and target a non-Monster character you control.  Symbols generated by the target gain all allegiances until the end of the turn.  As an event, discard from your hand to search your deck for a Forsaken, and place it in your hand.
rand_al_thor_v	Rand al'Thor (V)	dark_prophecies					Character	Dragon	Starting Hero, Dragon Reborn, Ta'veren	1	1	2	2	Rare 2	02-097 R2	The first time the Dragon Reborn rolls at least [2x One Power], he permanently gains +1 One Power.  If the Dragon Reborn generates less than 3 ability symbols when he rolls his dice, he additionally generates [One Power] [Politics].
rand_al_thor_vi	Rand al'Thor (VI)	dark_prophecies					Character	Dragon	Starting Hero, Dragon Reborn, Ta'veren	1		3	1	Rare 2	02-098 R2	If the Dragon Reborn rolls at least [Politics], he permanently gains +1 Politics to a maximum of 3.  If the Dragon Reborn rolls at least [Combat], he permanently gains +1 Combat to a maximum of 3.  The first time the Dragon Reborn rolls at least [2x One Power], he permanently gains +1 One Power.
rand_al_thor_vii	Rand al'Thor (VII)	dark_prophecies					Character	Dragon	Starting Hero, Dragon Reborn, Ta'veren			2	2	Rare 2	02-099 R2	If the Dragon Reborn rolls at least [2x One Power], he permanently gains +1 One Power to a maximum of 4.  As a limited event, rotate to generate [2x Politics] [Intrigue] [Combat].
rhadam_asunawa	Rhadam Asunawa	dark_prophecies	1	2			Character	Children of the Light	High Inquisitor	2	3			Rare 2	02-100 R2	As an event, target another player and pay an ability symbol generated by Rhadam Asunawa.  The target removes an ability symbol of the same type from his pool (if possible).		
rule_a_nation	Rule a Nation	dark_prophecies					Challenge							Common	02-101 C	Choose a non-Dragon, non-Dark One allegiance.  Only characters and troops with the chosen allegiance may participate in this challenge.  If successful, this challenge becomes a player advantage targeting you with the text: As an event, spend any 2 ability symbols with the chosen allegiance to generate [Politics], [Intrigue], or [Combat] with the same allegiance.		
saboteurs	Saboteurs	dark_prophecies		1			Troop	Mercenary	Multiple				2	Rare 3	02-102 R3	As an event, rotate Saboteurs and target a troop controlled by another player.  Roll Saboteurs' dice and apply any damage to the target.  The target may then roll its dice and apply any damage to Saboteurs.		
sammael_i	Sammael (I) horse	dark_prophecies					Character	Dark One	Starting Villain, Forsaken		1	4	3	Rare 2	02-103 R2	Once per turn, as a limted event, you may pay [2x Combat] from your pool to search your deck for the first troop advantage, and place it in your hand.  If you control no Monsters, Sammael rolls an additional 2 Combat dice when he rolls his Combat dice while participating in a challenge with a troop you control.
sebban_balwer	Sebban Balwer	dark_prophecies	1	2			Character	Children of the Light	Spymaster		4			Rare 2	02-104 R2	During the determine participation step, target any number of characters or troops in the battlefield, up to the number of tokens on your section of the pattern.  For each target, its controller must reveal to you which challenge it will be participating in, or if it will be standing down.		
