Name	Set	ImageFile	Politics_Cost	Intrigue_Cost	One_Power_Cost	Combat_Cost	Type	Subtype/Allegiance	Attribute	Politics_Ability	Intrigue_Ability	One_Power_Ability	Combat_Ability	Rarity	Collector	Text
Battle Hardened	premier	battle_hardened					Advantage							Common	01-021 C	Target a character or troop you control.  When determining how many ability dice to roll for the target, ignore all damage on him.
Be'lal (I) sword	premier	be_lal_i_sword					Character	Dark One	Starting Villain, Forsaken		1	4	4	Rare	01-022 R	You may only recruit one character and one troop per turn.  If the Dragon Reborn initiates the Callandor challenge and fails to succeed, place the Callandor advantage on Be'lal instead.
Berelain	premier	berelain	3				Character	Dragon	First of Mayene	3	1			Rare	01-023 R	Politics ability symbols generated by Berelain have all alegiances for recruiting purposes.
Bitter Fighting	premier	bitter_fighting				1	Event							Rare	01-024 R	Target a troop you control and another player's troop participating in the same challenge.  Both troops roll their dice and apply damage (other results are ignored).  Both troops continue rolling their dice and applying damage until one troop is mortally wounded.  [CLARIFICATION: mortally wounded = a character or troop is mortally wounded when it has taken at least one point of damage, and it has no current ability above zero.  06.27.2000 - ERRATA]
Blood Tide	premier	blood_tide				2	Event							Common	01-025 C	Target a challenge.  Each [Combat Icon] you roll while participating in the challenge is converted into a [Damage Icon] instead.
Bodyguards	premier	bodyguards	1			1	Advantage	Character						Fixed	01-026 F	When the targeted character takes damage, apply it to this card instead.  Discard this advantage when it has taken two points of damage and apply any extra damage to the targeted character.
Border Clash	premier	border_clash					Challenge							Uncommon	01-027 U	Politics cannot be rolled in this challenge.  Reinforcement cannot be used in this challenge.  If you succeed, move a token from the neutral section of the Pattern to your section, and you may add a token to a nation contested advantage.
Broken Ground	premier	broken_ground					Event							Uncommon	01-028 U	For each [Combat Icon] spent, target one troop participating in the same challenge.  The targeted cards do not ready next turn.
Bubble of Evil	premier	bubble_of_evil					Event							Common	01-029 C	This card may only be played by a Villain player.  Target a character participating in a challenge.  The target may choose not to roll his dice this turn.  If he does roll, he takes one point of damage for each ability symbol he rolls.
Caemlyn	premier	caemlyn					Advantage	Player	Capital of Andor					Rare	01-030 R	While you control the Andor contested advantage by 5 or more, all Andor characters you control may use their Politics in the Last Battle.  This allows your Andor characters with only Politics to participate in the Last Battle.
Cairhien	premier	cairhien					Advantage	World	Nation Contested Advantage					Uncommon	01-031 U	For each token by which you control Cairhien, you may use one [Intrigue Icon] as a [Politics Icon] or [Combat Icon] to recruit.  (These symbols retain their original allegiance.)
Cairhien Footmen	premier	cairhien_footmen	1			1	Troop	Cairhien	Multiple				5	Common	01-032 C	As an event, any player may target this troop and pay any amount of [Intrigue Icon].  For each [Intrigue Icon] paid, this troop rolls one less Combat die for the rest of the turn.
Cairhien Horsemen	premier	cairhien_horsemen	1				Troop	Cairhien	Reinforcement				2	Uncommon	01-033 U	As an event, rotate this troop and target a troop you control.  The targeted troop gains Reinforcement until the end of the turn.
Callandor	premier	callandor					Challenge		Unique					Rare	01-034 R	Can only be initiated by the Dragon Reborn.  If you succeed by five or more, this card becomes a sa'angreal character advantage on the Dragon Reborn.  While the target participates in a challenge, you may place two tokens on this card to roll One Power dice equal to the target's current One Power ability.  Unless the target rolls more [One Power Icon] in the challenge than tokens on this card, you must apply damage on your participating cards equal to his One Power ability. [CLARIFICATION: Callandor is a sa'angreal, and works like all other angreal. You roll the dice for Callandor at the same time your are rolling the One Power dice for the target character, and those dice are considered to be *from* the target character. - 02.13.2000 - ERRATA]
Called to War	premier	called_to_war					Advantage	Player						Uncommon	01-035 U	You may initiate a challenge each turn targeting a nation contested advantage.  There is automatically 5 opposition to the challenge.  For every two by which you succeed, add a token to the targeted advantage.
Car'a'carn	premier	car_a_carn					Challenge							Uncommon	01-036 U	Only the Dragon Reborn may initiate this challenge.  If you succeed, this challenge becomes a character advantage on the Dragon Reborn giving him the Aiel allegiance.  For each point by which you succeed, place a follower token on the advantage.  You may remove one follower token to reduce the cost of an Aiel character or troop by one ability of your choice.
Carpe Fatum	premier	carpe_fatum			4		Event							Rare	01-037 R	The symbols used to pay for this card must all come from the same character.  Add one token to your section of the Pattern.
Catapults	premier	catapults				1	Troop	Mercenary	Multiple				1	Uncommon	01-038 U	When participating in a challenge, Catapults add one point of damage to your troop damage pool during the Opening Moves step.
Charge	premier	charge					Event							Common	01-039 C	Play this card during the Opening Moves step of a challenge. For each [Combat Icon x2] you pay, target one troop you control participating in that challenge. Rotate the target troops, roll their dice, and add the results to your pools. [02.13.2000 - ERRATA]
Chiad	premier	chiad	1			1	Character	Aiel	Maiden of the Spear, Goshien Aiel		1		3	Uncommon	01-040 U	Symbols generated by this character may not be used for recruiting.
Civil Unrest	premier	civil_unrest					Event							Uncommon	01-041 U	Target a nation contested advantage.  Each player rolls a Combat die for each token they have on that advantage.  For each [Damage Icon] rolled, they may remove a token of their choice from the target advantage.
Combat Reserves	premier	combat_reserves				2	Advantage	Player						Rare	01-042 R	You may pay [Combat Icon] as a limited event to place a reserve token on this card.  You may remove two reserve tokens as a limited event to add one [Combat Icon] to your pool.  This symbol has the allegiance(s) of your starting character.
Commander	premier	commander	1			1	Character	Mercenary	Multiple				2	Fixed	01-043 F	
Compulsion	premier	compulsion			2		Advantage	Character						Rare	01-044 R	May only be played by a Villain player. Target a non-Taveren, non-Starting character with a printed cost controlled by a Hero player that has at least 3 characters in play. The target may not ready during the ready round. The target's controller may return the target to his hand to discard this advantage. At the start of the Last Battle and/or if the target is replaced, discard this advantage. [08.21.2001 - ERRATA]
Concealed Dagger	premier	concealed_dagger		1			Advantage	Character						Rare	01-045 R	Discard this advantage as an event while the target is participating in a challenge and pay [Intrigue Icon] to add a point of damage to another character (of your choice) participating in the same challenge.
Confrontation	premier	confrontation					Challenge							Fixed	01-046 F	If you succeed by five or more, add two tokens to your section of the Pattern.
Connections	premier	connections	1				Event	Limited						Common	01-047 C	Draw two cards.
Cut Supply Lines	premier	cut_supply_lines					Challenge							Rare	01-048 R	Target another player.  If you succeed, this challenge becomes a player advantage targeting him.  His maximum hand size is decreased by 2.
Dain Bornhald	premier	dain_bornhald	1				Character	Children of the Light		1			1	Common	01-049 C	
Dangerous Liaisons	premier	dangerous_liaisons		2			Advantage	Player						Rare	01-050 R	You may pay [Intrigue Icon] as a limited event to place a reserve token on this card.  You may remove two reserve tokens as a limited event to add one [Intrigue Icon] to your pool.  This symbol has the allegiance(s) of your starting character.
Dark Dreams	premier	dark_dreams			1		Advantage	Player						Rare	01-051 R	This card may only be played by a Villain player.  You may discard this card as an event and target a card-based challenge.  It gains 2 additional opposition.
Darkfriend	premier	darkfriend		1			Advantage	Character						Fixed	01-052 F	Target a character you control with a dark nature.  He gains the Dark One allegiance.
Darkfriend Band	premier	darkfriend_band		1			Troop	Dark One	Multiple				2	Uncommon	01-053 U	The Darkfriend Band is recruited into your battleground, and has Reinforcement on the turn it is recruited.
Darkhound Pack	premier	darkhound_pack			2	2	Character	Dark One	Monster, Multiple, Reinforcement				3	Rare	01-054 R	You cannot control more than one Darkhound pack at a time.  Symbols generated by this character may not be used for recruiting.  This character cannot be the target of advantages.  Any character that takes damage from a Darkhound Pack and is not completely healed by the end of the turn is killed.
Debt of Honor	premier	debt_of_honor					Challenge							Fixed	01-055 F	Target a character you control.  If you succeed, this challenge becomes a character advantage targeting him.  While the target of the advantage is ready, your starting Hero or Villain gains the target's allegiance(s).  If you do not succeed, your starting Hero or Villain takes one point of damge, and the target is killed.
Decisive Tactics	premier	decisive_tactics					Event							Fixed	01-056 F	Play this card during the Opening Moves or Coming to Grips step of a challenge.  For each [Combat Icon x2] you pay, apply one [Support Icon] or [Opposition Icon] to the challenge.
Defensive Measures	premier	defensive_measures					Event							Common	01-057 C	Target one or more ready troops you control that are participating in the same challenge.  Pay [Combat Icon x2] for each target.  For each [Opposition Icon] the roll, they generate an additional [Opposition Icon]. [CLARIFICATION: Defensive Measures may be played in the Action Round. It may be played during one challenge while targetting troops in a different challenge. It can not be played during the Coming to Grips phase. Defensive Measures may not be used in the Last Battle - 02.13.2000 - ERRATA]
Dense Fog	premier	dense_fog					Event							Common	01-058 C	Target a challenge.  For each [One Power Icon] you pay, all players except you must remove one token from their character damage pools and from their troop damage pools during each step of the challenge.
Dense Forest	premier	dense_forest					Event		Terrain					Fixed	01-059 F	Target a card-based challenge.  Only one terrain event may target each challenge.  No cards may reinforce the challenge.  Before damage is applied, remove two points of damage from all player's character damage pools.
Disband	premier	disband					Event							Common	01-060 C	Discard a troop you control.  Add a number of symbols to your pools equal to the recruit cost of the discarded troop.  These symbols have the same allegiance as the discarded troop.
Distractions	premier	distractions					Event							Common	01-061 C	Target a troop participating in a challenge.  For each [Intrigue Icon] you pay, it must roll one die less than normal. [CLARIFICATION: Distractions may be played at any time you could normally play an event, limited to times when there are troops participating in a challenge. - 06.27.2000 - ERRATA]
Draghkar	premier	draghkar			1	1	Character	Dark One	Monster, Multiple, Reinforcement				2	Rare	01-062 R	You must have 5 pattern to recruit a Draghkar.  This character cannot be the target of advantages.  Whenever Draghkar rolls dice ignore all results.  Whenever Draghkar rolls dice he generates [Damage Icon] [Damage Icon].
Dragon Banner	premier	dragon_banner			2		Advantage	Player						Rare	01-063 R	Can only target a Hero player.  Pay [Politics Icon] as a limited event and target a character you control.  The target permanently gains the Dragon allegiance.  Each of your Dragon characters participating in a challenge initiated by the Horn of Valere contested advantage automatically generate one additional support.
Dragonsworn	premier	dragonsworn					Troop	Dragon	Multiple				2	Rare	01-064 R	There is no cost to bring the Dragonsworn into play.
Driven	premier	driven					Event							Rare	01-065 R	Target one or more trolloc troops you control that are participating in the same challenge.  For each troop targeted, put a damage token on it and it generates one [Support icon].
Duel	premier	duel					Event							Common	01-066 C	Target a ready character.  Select a character you control with the same allegiance as the target.  Each character rolls his dice and applies any [Damage Icon] (other results are ignored).  The target can rotate for no effect to ignore this card.
Eamon Valda	premier	eamon_valda	1	1		2	Character	Children of the Light	Lord Captain	1	2		3	Uncommon	01-067 U	Rotate Eamon Valda to remove one token from a contested advantage.
Earth Blast	premier	earth_blast			2		Event							Uncommon	01-068 U	Play this card during the Opening Moves or Coming to Grips step of a challenge.  Target a character participating in that challenge.  The target takes a point of damage and may not ready next turn.
Egwene al'Vere	premier	egwene_al_vere			1		Character	Aes Sedai	Novice, Light Nature			1		Fixed	01-069 F	If Egwene rolls a number of [One Power Icon] equal to her permanent One Power ability, she gains +1 One Power permanently, to a maximum of three.
Egwene the Accepted	premier	egwene_the_accepted					Character	Aes Sedai	Accepted, Dreamwalker, Light Nature	1	2	2		Rare	01-070 R	Replace Egwene al'Vere when she has a permanent One Power of at least two.  If Egwene rolls a number of [One Power Icon] equal to her permanent One Power ability, she gains +1 One Power permanently, to a maximum of three.
Elaida Sedai	premier	elaida_sedai	1	1	2		Character	Aes Sedai	Red Ajah	2	2	3		Rare	01-071 R	If Elaida rolls a number of [One Power Icon] equal to her permanent One Power ability, she must look at the top five cards of any players' deck; reveal two of them to all players, and place them back on top of the deck in the same order.
Elayne Trakand	premier	elayne_trakand	2				Character	Andor	Light Nature, Daughter-Heir	2		1		Fixed	01-072 F	The Dragon Reborn does not cause an allegiance penalty when paying any of the cost to recruit Elayne.
Elyas	premier	elyas	1			2	Character	Mercenary	Wolfbrother		1		3	Rare	01-073 R	Elyas cannot be controlled by a Villain player.  Rotate Elyas to retrieve a Wolf troop from your deck and place it in your hand.
Establish Contacts	premier	establish_contacts					Advantage	Character						Uncommon	01-074 U	Target a Forsaken character.  He gains +1 Intrigue.
Exiled	premier	exiled					Challenge							Uncommon	01-075 U	Target a character and select an allegiance of that character.  Only characters of the selected allegiance may participate in this challenge.  If you succeed by at least the character's cost or highest ability, whichever is greater, remove that allegiance from the target.
Expendable Troops	premier	expendable_troops				1	Event							Common	01-076 C	Target a challenge.  This event acts as if it were a mercenary troop participating in that challenge with 2 Combat ability.  Discard this card after the challenge resolves.
Fade	premier	fade		1		1	Character	Dark One	Monster, Multiple, Myrddraal		1		3	Fixed/Common	01-077 F/C	This card cannot participate in challenges until there are at least four tokens on your section of the Pattern.
Fall Back	premier	fall_back					Event							Common	01-078 C	Target a character you control.  Put a number of recovery tokens on the target equal to the number of damage tokens on him, then remove all damage from the target.  Rotate the target for no effect.  The target cannot ready while recovery tokens remain on him.  Remove one recovery token at the end of each ready round.
Far Reaching Influence	premier	far_reaching_influence					Advantage	Character						Common	01-079 C	Target a character with Politics.  The target gains +1 Politics.  If the target ever participates in a card-based challenge you initiate but do not succeed at, discard this advantage.
Fireball	premier	fireball			1		Event							Fixed	01-080 F	Play this card during the Opening Moves or Coming to Grips step of a challenge.  Target a character or troop participating in that challenge.  Put one point of damage on the target.
Flanking Maneuvers	premier	flanking_maneuvers					Challenge							Uncommon	01-081 U	Only cards with Reinforcement may participate in this challenge.  No cards can reinforce this challenge.  If you succeed by three or more, add one token to your section of the Pattern.
Flowing Coffers	premier	flowing_coffers					Challenge							Common	01-082 C	If you succeed, this challenge becomes a player advantage targeting you.  For each point by which you succeed, place a wealth token on this card.  You may remove one wealth token to reduce the cost of a mercenary character or troop by one ability of your choice.  Discard the advantage when there are no tokens remaining.
Forced Back	premier	forced_back					Challenge							Common	01-083 C	Target a non-Hero, non-Villain character you do not control.  If you succeed, this challenge becomes a character advantage on the target.  The effect text of the target is ignored.
Forced March	premier	forced_march				2	Advantage	Player						Rare	01-084 R	When you recruit a troop, you may pay [Combat Icon] in addition to its cost to bring that troop into play in your battleground 9rather than in your home front).  You may pay an additional [Combat Icon] to give the troop Reinforcement until the end of the turn.
Fortress of Light	premier	fortress_of_light					Advantage	World	Contested Advantage					Rare	01-085 R	Only characters and troops with the Children of the Light allegiance may participate in challenges initiated by this contested advantage. An opponent may not target a card you control with an event that has a printed (One Power) cost unless he first pays a (One Power). During the Opening Moves step of a Last Battle challenge, you generate (support, support, opposition, opposition) for each contested advantage you control. [08.21.2001 - ERRATA]
Forward Scouts	premier	forward_scouts				1	Troop	Mercenary	Multiple				1	Uncommon	01-086 U	While participating in a challenge, this card may rotate as an event to give another troop Reinforcement.  That troop may only reinforce the challenge in which this card is participating.
From the Shadows	premier	from_the_shadows					Challenge							Uncommon	01-087 U	Only Intrigue may be rolled in this challenge.  If you succeed, add a token to your section of the Pattern.
Further Demands	premier	further_demands					Advantage							Common	01-088 C	Target a mercenary character or troop.  Rotate the target for no effect.  It may not ready.  The controller of the card may discard this advantage by paying the cost of the targeted card as a limited event.
Further Goals	premier	further_goals					Event	Limited						Rare	01-089 R	Target a card-based challenge you initiated.  If you win the challenge by 7 or more, add a token to your section of the Pattern.
Future Returns	premier	future_returns	1	1	1	1	Advantage	Player						Rare	01-090 R	Pay any ability symbol as a limited event to place an investment token on this card. Rotate this card and remove 5 investment tokens to draw a card. (Same printed cost) [05.27.2000 - ERRATA]
Gaining An Advantage	premier	gaining_an_advantage					Challenge							Fixed	01-091 F	If you succeed, this challenge becomes a player advantage targeting you.  You may discard it as an event to generate [Politics Icon] [Intrigue Icon] [Combat Icon].  These symbols have all allegiances.
Galldrian su Riatin Rie	premier	galldrian_su_riatin_rie	2	3			Character	Cairhien	King of Cairhien	3	3		1	Rare	01-092 R	You must have 5 Pattern to recruit Galldrian.  While you control Galldrian, all Cairhien characters you control gain +1 Intrigue.
Gareth Byrne	premier	gareth_byrne	3			2	Character	Andor	Light Nature	2	1		3	Rare	01-093 R	While you control Gareth Byrne, Andor troops you control gain +1 combat.
Gateway	premier	gateway					Event	Limited						Uncommon	01-094 U	Target one character or troop per [One Power Icon x2] you pay.  Each target is readied, moved to the battleground and gains Reinforcement (until the end of the turn).
Gather Allies	premier	gather_allies					Challenge							Fixed	01-095 F	No troops may participate in this challenge.  If you succeed, add one token to your section of the Pattern.
Gather Support	premier	gather_support					Challenge							Common	01-096 C	Choose Politics, Intrigue or Combat.  For each one by which you succeed, one symbol of that type is added to your pool at the beginning of the next action round.  The symbols added have no allegiance.
Gaul	premier	gaul		1		1	Character	Aiel	Light Nature, Stone Dog, Shaarad Aiel				3	Uncommon	01-097 U	Symbols generated by this character may not be used for recruiting.  Gaul gains +1 Combat while he is damaged.  Gaul generates one [Combat Icon] when he participates in a challenge.
Geofram Bornhald	premier	geofram_bornhald	2			2	Character	Children of the Light	Lord Captain	2			3	Rare	01-098 R	Rotate Geofram to find the top challenge card in your deck and place it in your hand.
Graendal (I) portal	premier	graendal_i_portal					Character	Dark One	Starting Villain, Forsaken	2	1	4		Rare	01-099 R	Any character you recruit gains the Dark One allegiance.
Gray Man	premier	gray_man		1	1		Character	Dark One	Multiple		1		1	Uncommon	01-100 U	You cannot use ability symbols rolled by Gray Man to recruit.  Gray Man's abilities cannot be increased.  As an event, rotate Gray Man and target a character.  Roll Gray Man's dice and apply any [Damage Icon] to the target.  The target may then roll his dice and apply any [Damage Icon] to Gray Man.
Guarded by Fate	premier	guarded_by_fate					Event							Rare	01-101 R	Target a character who has damage greater than or equal to his highest Permanent ability.  Remove damage from the target until it has one less damage than its highest Permanent ability.  [05.27.2000 - ERRATA]
Halfman	premier	halfman		1		2	Character	Dark One	Monster, Multiple, Myrddraal				2	Rare	01-102 R	All trolloc troops you control participating in the same challenge as the Halfman gain +1 Combat.  You can only use this bonus from one Halfman for each 3 tokens you have on your section of the Pattern.
Hampered	premier	hampered		1			Event							Common	01-103 C	Target a ready character or troop card controlled by another player.  The target cannot use its effect text this turn.
Harassment	premier	harassment					Event							Common	01-104 C	Target one character or troop with Reinforcement for each [Intrigue Icon] you pay.  The targets lose their Reinforcement ability.
Healing	premier	healing			1		Event							Fixed	01-105 F	Remove one point of damage from a troop card, or all damage from a character card.
Heavy Armor	premier	heavy_armor				1	Advantage	Troop						Common	01-106 C	As an event, rotate this card to remove one point of damage from the opponent's troop damage pool in any challenge in which the target is participating.
Heavy Fighting	premier	heavy_fighting					Event							Common	01-107 C	Target a challenge.  All troops participating in that challenge gain +1 Combat ability until the challenge is resolved.
Herb Bag	premier	herb_bag					Advantage	Character						Uncommon	01-108 U	Rotate this advantage as a limited event while the target is at the home front and select a character you control at the home front.  Remove 1 point of damage from the selected character.
Heroic Efforts	premier	heroic_efforts					Event							Fixed	01-109 F	Remove any number of tokens from your character damage pool.  For each token removed, add one token to your troop damage pool.
Heron-Mark Blade	premier	heron_mark_blade				2	Advantage	Character	Weapon					Rare	01-110 R	Target a non-Aiel, non-monster character with 4 or more Combat ability, or the Dragon Reborn.  That character gains +1 Politics ability, and may rotate this advantage while he is participating in a challenge to add one point of damage to your character damage pool.
Hidden Discoveries	premier	hidden_discoveries	1	1	1	1	Advantage	Player						Rare	01-111 R	As an event, name a specific type of advantage (such as player advantage), rotate this card, and pay [One Power Icon].  Find the top advantage of that type in your deck and place it in your hand.
Hidden Spies	premier	hidden_spies					Event							Common	01-112 C	This card may only be played by a Villain player.  Target another player.  Look at the top 5 cards of his deck.  You may then shuffle his deck.
High Lady Alteima	premier	high_lady_alteima	2				Character	Tear		2	2			Uncommon	01-113 U	Pay [Intrigue Icon] and target a player.  That player must shuffle his deck.
High Lady Estanda	premier	high_lady_estanda	1	1			Character	Tear		2	2			Common	01-114 C	
High Lord Aracome	premier	high_lord_aracome	2			1	Character	Tear		2	1		1	Uncommon	01-115 U	Each Ready round while you control High Lord Aracome, you may target a troop you control.  That troop gains Reinforcement until you target another troop or rotate High Lord Aracome.
High Lord Geuyam	premier	high_lord_geuyam	2			1	Character	Tear		2	1		2	Common	01-116 C	
High Lord Meilan	premier	high_lord_meilan	2	2			Character	Tear		2	3		1	Rare	01-117 R	While participating in a challenge, any ability symbols rolled by High Lord Meilan are ignored.  For each [Support Icon] or [Opposition Icon] High Lord Meilan rolls, he generates an additional symbol of the same type.
High Lord Samon	premier	high_lord_samon					Advantage	Character						Uncommon	01-118 U	May only target High Lord Be'lal.  High Lord Be'lal gains the Tear allegiance. [02.13.2000 - ERRATA]
High Lord Torean	premier	high_lord_torean	1	1			Character	Tear		1	2			Common	01-119 C	You may use any [Intrigue Icon] rolled by High Lord Torean as a [Politics Icon] instead.
High Lord Weiramon	premier	high_lord_weiramon	1			1	Character	Tear		2			3	Rare	01-120 R	While participating in a challenge, High Lord Weiramon may only roll his Combat dice if one or more Tear troops you control are participating in that challenge.  For each [Combat Icon] he rolls in a challenge, you must place a point of damage on one of your participating troops.
High Stakes	premier	high_stakes					Event							Rare	01-121 R	Play this event during the ready round.  The player who wins the Pattern challenge may also move a neutral token to his section of the Pattern.
Hired Agent	premier	hired_agent		1			Character	Mercenary	Multiple		1			Common	01-122 C	
Horn of Valere	premier	horn_of_valere					Advantage	World	Contested Advantage, Unique					Rare	01-123 R	The first player to control this advantage by 20 or more adds two tokens to his section of the Pattern and places it on a character they control as a character advantage.  If you control this advantage during the Last Battle, each [Support Icon] you roll also counts as a [Damage Icon]. [CLARIFICATION: To control the Horn of Valere, you must have 20 more tokens than any other single player. Once you control it, it is no longer a Contested Advantage. There is no loss of pattern for discarding or otherwise losing Horn of Valere. - 06.27.2000 - ERRATA]
Hostile Terrain	premier	hostile_terrain					Event		Terrain					Common	01-124 C	Target a card-based challenge.  Only one terrain event may target each challenge.  A player must pay [Combat Icon] for each troop he wishes to use its Reinforcement trait.  If any troop takes damage during the challenge, it takes an additional point of damage after the challenge is resolved.
House Guards	premier	house_guards	1	1			Troop	Cairhien	Multiple				3	Rare	01-125 R	If a Cairhien character you control takes any damage while participating in a challenge with House Guards, you may apply the damage to this card instead.  You cannot use this effect while this card has damage greater than or equal to its Combat Permanent ability. [06.27.2000 - ERRATA]
Human Rabble	premier	human_rabble		1			Troop	Mercenary	Dark Nature, Multiple				2	Fixed	01-126 F	Human Rabble may participate in challenges with monster characters and troops you control.
Hunting Trollocs	premier	hunting_trollocs					Challenge							Common	01-127 C	Target a monster troop.  If you succeed by at least the current Combat ability of the target, discard it.
Illusion	premier	illusion					Event							Uncommon	01-128 U	Play this card during the Opening Moves step of a challenge and target another player.  For each [One Power Icon] you pay, you may remove one token from the target's support, opposition or character damage pool.
In Harm's Way	premier	in_harm_s_way					Event							Common	01-129 C	Target a character you control who is participating in a challenge.  Put one point of damage on the target.  He gains +3 Combat.
Incentives	premier	incentives					Event							Common	01-130 C	You may ignore the light nature or dark nature trait on the next character you recruit this turn.
Infighting	premier	infighting					Event	Limited						Common	01-131 C	Target two or more trolloc troops participating in the same challenge.  If each target's controller does not pay [Combat Icon] from a character before the challenge is resolved, that target troop takes one point of damage.  Draw one card.
Infiltration	premier	infiltration					Event							Common	01-132 C	While participating in a challenge, pay any amount of [Intrigue Icon].  For each [Intrigue Icon x2] you pay, add a point of damage to a troop participating in the same challenge.
Inner Strength	premier	inner_strength	1		1		Advantage	Player						Uncommon	01-133 U	Rotate this advantage as an event and target a character you control.  Add one ability symbol of any type to your pool.  You may only use that symbol to pay effect text cost on the targeted character.
Inspirational Leader	premier	inspirational_leader	1			1	Advantage	Character						Rare	01-134 R	Whenever you roll the target's dice, you may replace all of his Politics dice with Combat dice. (This does not change the target's abilities.) This can allow him to participate in the Last Battle.
Into the Fight	premier	into_the_fight					Event	Limited						Uncommon	01-135 U	The next character you recruit has minus one to the cost of one ability of your choice.  This character is placed in the battleground (instead of your home front) and gains Reinforcement (for the rest of the turn).
