Name	set	ImageFile	Politics_Cost	Intrigue_Cost	One_Power_Cost	Combat_Cost	Type	Subtype/Allegiance	Attribute	Politics_Ability	Intrigue_Ability	One_Power_Ability	Combat_Ability	Rarity	Collector	Text
Birgitte	children_of_the_dragon	children_of_the_dragon/birgitte				3	Character	Aes Sedai	Warder, Bonded to Elayne Trakand, Hero of the Horn, Light Nature		3		4	Rare 1	03-017 R1	If you control Elayne, you may recruit this character as if she had the Dragon allegiance.  When recruited, search your hand or deck for a Longbow, and place it on Birgitte for no cost.  Symbols generated by this character may not be used to recruit. When Birgitte is placed in a killed pile, she is instead shuffled back into her owner's deck.
Bruan	children_of_the_dragon	children_of_the_dragon/bruan				4	Character	Aiel	Clan Chief of the Nakai Aiel	2	1		4	Rare 2	03-018 R2	You must control Chief's Chair or Ji'e'toh to recruit this character.  While Bruan is the target of an advantage, he additionally generates [Support] [Opposition] [Combat] [Damage] when he rolls his dice.
Caddar	children_of_the_dragon	children_of_the_dragon/caddar					Advantage	Character						Rare 2	03-019 R2	Target Sammael if he is your starting character: he gains +1 Intrigue.  Ability symbols generated by Sammael may be used to recruit Aiel characters and troops as if he had the Aiel allegiance.  Sammael additionally generates [One Power] when he rolls his dice.  This symbol may only be used to recruit a Shaido Wise One.
Cadin'sor	children_of_the_dragon	children_of_the_dragon/cadin_sor				1	Advantage							Rare 2	03-020 R2	Target a non-Wise One character or troop you control with only the Aiel allegiance.  When the target is declared a participant in a challenge, add a [Combat] to your pool.  This symbol has the Aiel allegiance and may only be used for recruiting Aiel cards.  Discard this card from play to remove up to 2 damage from the target.
Cairhien Vanguard	children_of_the_dragon	children_of_the_dragon/cairhien_vanguard				1	Troop	Cairhien	Multiple				3	Common	03-021 C	May not participate in card-based challenges initiated by an opponent.  While participating in a non-Pattern challenge, this troop additionally generates [Support] [Opposition] [Damage] [Combat] when it rolls its dice.
Call Up the Reserves	children_of_the_dragon	children_of_the_dragon/call_up_the_reserves					Challenge							Common	03-022 C	Target a player.  This challenge has 15 additional opposition at resolution, unless you have 6 or more tokens on your section of the pattern.  If successful, the target draws a number of cards from his deck to fill his hand to his maximum hand size.  Remove this challenge from the game when it resolves.
Callbox	children_of_the_dragon	children_of_the_dragon/callbox					Event							Rare 2	03-023 R2	May only be played by a Villain player.  Target your starting character.  He generates [One Power].  This symbol may only be used to recruit characters or troops.
Casualties of War	children_of_the_dragon	children_of_the_dragon/casualties_of_war					Advantage	Player	Starting Advantage					Common	03-024 C	An opponent may only play one card or use one card's effect per turn, of his choice, which would allow him to draw 1 or more cards.  If other cards and/or card effects would allow him to draw additional cards beyond this, the cards drawn are instead shuffled back into his deck.
Chaelin	children_of_the_dragon	children_of_the_dragon/chaelin	2	1			Character	Aiel	Wise One, Miagoma Aiel, Light Nature	2	1	2		Uncommon	03-025 U	You must control Sweat Tents or Ji'e'toh to recruit this character.  Chaelin gains +1 Politics and Intrigue for every other 3 Wise One characters you control.
Chareen Aiel	children_of_the_dragon	children_of_the_dragon/chareen_aiel				3	Troop	Aiel					6	Uncommon	03-026 U	The cost to recruit this troop is increased by [3x Combat] if you do not control Erim.  Once per turn, while participating in a challenge, target a non-contested advantage.  If the target was rotated this turn, it does not ready next turn.
Chief's Chair	children_of_the_dragon	children_of_the_dragon/chief_s_chair					Advantage	Player	Starting Advantage					Common	03-027 C	Discard all Maiden of the Spear and Wise One cards you control.  Each Clan Chief you recruit costs an additional [Combat] for each Clan Chief you control.  (This increase applies after all multipliers.)  As a limited event, rotate this card to shuffle an Aiel troop from your hand into your deck to search your deck for a non-Multiple Aiel troop and place it in your hand.  You may recruit Clan Chief characters as if your Pattern were 2 higher.
Children's Crusade	children_of_the_dragon	children_of_the_dragon/children_s_crusade					Advantage	Player	Starting Advantage					Common	03-028 C	Rotate this card and a Chldren of the Light character you control to give all characters and troops you control with only the Children of the Light allegiance, whose highest printed ability is 3 or less, +1 to all printed abilities until the end of the turn.  Rotate this card to allow your Children of the Light cards to participate in challenges with Dragon and non-Monster Dark One cards this turn.
Codarra Aiel	children_of_the_dragon	children_of_the_dragon/codarra_aiel				3	Troop	Aiel					6	Uncommon	03-029 U	The cost to recruit this troop is increased by [3x Combat] if you do not control Indirian.  If an opponent converted 1 or more Pattern this turn to reduce cost of a character or troop, this troop gains +1 Combat (permanently).
Colinda	children_of_the_dragon	children_of_the_dragon/colinda	2	1			Character	Aiel	Wise One, Shaarad Aiel, Light Nature	3	2	1		Uncommon	03-030 U	You must control Sweat Tents or Ji'e'toh to recruit this character.
Collaborators	children_of_the_dragon	children_of_the_dragon/collaborators			1		Troop	Dark One	Multiple, Dark Nature				3	Common	03-031 C	Once per turn, you may target a troop you control.  The target may participate in challenges with Monster cards this turn.  Shuffle this card from play back into its owner's deck to allow all characters and troops you control to participate in challenges with monster cards this turn.
Conquer and Control	children_of_the_dragon	children_of_the_dragon/conquer_and_control					Challenge							Common	03-032 C	If successful, this challenge becomes a player advantage targeting you with the following text: Rotate this advantage to add a token to a contested advantage you control.
Couladin Car'a'carn	children_of_the_dragon	children_of_the_dragon/couladin_car_a_carn					Character	Aiel	Car'a'carn, Dark Nature	3	3		4	Rare 1	03-033 R1	You must be a Villain player and there must be 10 or more total Patern in the game to play this card.  Replace Couladin.  While this character is participating in a challenge, all Aiel characters and troops you control participating in the same challenge roll an additional Combat die when they roll their Combat dice.  Remove up to 3 damage from this character when he rotates to heal.   Shuffle this card from your hand into your deck to search your deck for Couladin and place him in your hand.
Dapple	children_of_the_dragon	children_of_the_dragon/dapple				1	Character	Mercenary	Wolf, Reinforcement				3	Uncommon	03-034 U	You must control a Wolfbrother to bring Dapple into play.  Discard Dapple if you do not control a Wolfbrother.  Dapple cannot be the target of advantages.  Ability symbols generated by Dapple are ignored.  Rotate Dapple to search your deck for a non-Multiple Wolf character, and place it in your hand.
Dark Disguises	children_of_the_dragon	children_of_the_dragon/dark_disguises					Advantage	Character						Rare 2	03-035 R2	Target your starting Forsaken.  When you play this card, search your deck for 2 character advantages, reveal them to all players, and place them in your hand.  One of the two character advantages must have the word 'gains' and the name of your starting Forsaken in its effect text.  The turn you play this card, draw 1 less card during the Draw Round.
Daryne Aiel	children_of_the_dragon	children_of_the_dragon/daryne_aiel				3	Troop	Aiel					6	Uncommon	03-036 U	The cost to recruit this troop is increased by [3x Combat] if you do not control Mandelain.  If this is the only troop you control participating in a challenge, it cannot be assigned damage, and any [Damage] generated by it is negated.
Demetre Marcolin	children_of_the_dragon	children_of_the_dragon/demetre_marcolin		1		2	Character	Illian	First Captain of the Companions	1	2		3	Uncommon	03-037 U	The Companions gain +1 Combat if you control them.  While participating in a challenge, Demetre Marcolin may pay [Politics] or [Intrigue] to generate [Combat].  Demetre Marcolin may pay [Combat] to target an Illian card you control; the target ignores any damage tokens on it when it rolls its dice this turn.
Desora	children_of_the_dragon	children_of_the_dragon/desora				2	Character	Aiel	Maiden of the Spear, Reyn Aiel				3	Uncommon	03-038 U	Symbols generated by this character may not be used to recruit.  Shuffle this card from your hand into your deck to search your deck for a Maiden of the Spear, and place her in your hand.  When this character is placed in a killed pile, she is instead placed in her owner's discard pile.
Destroy From Within	children_of_the_dragon	children_of_the_dragon/destroy_from_within					Challenge							Common	03-039 C	Target an opponent.  If successful, for every 2 cards in the target's discard pile when this challenge resolves, he must place the top card of his deck into his discard pile.  Immediately after this challenge resolves, remove the target's discard pile from the game.
Dhearic	children_of_the_dragon	children_of_the_dragon/dhearic				4	Character	Aiel	Clan Chief of the Reyn Aiel	2			4	Rare 2	03-040 R2	You must control Chief's Chair or Ji'e'toh to recruit this character.  You may kill Dhearic while he is participating in a challenge to remove 1 point of damage from all Aiel characters you control.
Doorway in Rhuidean	children_of_the_dragon	children_of_the_dragon/doorway_in_rhuidean					Event							Rare 2	03-041 R2	You may only play this card once per game.  Roll 3 One Power dice.  Look at a number of cards from the top of your deck equal to 6 times the number of [One Power] you rolled.  For each [One Power] you rolled, you may take 1 of these cards into your hand.  Place the remaining cards back on the top of your deck in the same order you drew them.  If you rolled no [One Power], draw a card.  Place 2 damage tokens on your starting character for each [Damage] you rolled.
Doorway in Tear	children_of_the_dragon	children_of_the_dragon/doorway_in_tear					Event							Rare 2	03-042 R2	You may only play this card once per game.  Roll 3 One Power dice.  Look at a number of cards from the top of your deck equal to 6 times the number of [One Power] you rolled.  You may place any of the cards you looked at on the bottom of your deck in any order, and place the rest back on top of your deck in the same order you drew them.
Dream Search	children_of_the_dragon	children_of_the_dragon/dream_search					Event							Common	03-043 C	Rotate a Dreamwalker you control and target a card in an opponent's discard or killed pile.  That player must search his hand and deck for a copy of the target card and place it in his discard pile (if possible).
Edarra	children_of_the_dragon	children_of_the_dragon/edarra	3		1		Character	Aiel	Wise One, Shiande Aiel, Light Nature	2	2	2		Uncommon	03-044 U	You must control Sweat Tents or Ji'e'toh to recruit this character.  When you recruit this character, search your deck for an advantage of your choice and place it in your hand.
Enaila	children_of_the_dragon	children_of_the_dragon/enaila				2	Character	Aiel	Maiden of the Spear, Chareen Aiel				3	Uncommon	03-045 U	You must control Maidens of the Spear or Ji'e'toh to recruit this character.  Symbols generated by this character may not be used to recruit.  If you control 6 or more Maiden of the Spear characters, all Maiden of the Spear characters you control roll an additional Combat die when they roll their dice while participating in a challenge with Enaila.
Erim	children_of_the_dragon	children_of_the_dragon/erim				4	Character	Aiel	Clan Chief of the Chareen Aiel	2			4	Rare 2	03-046 R2	You must control Chief's Chair or Ji'e'toh to recruit this character.  Once per turn, target a card you control.  No opponent may target that card with cards or card effects this turn.
Feast of Teven	children_of_the_dragon	children_of_the_dragon/feast_of_teven					Event							Common	03-047 C	May not be played during the Resolution or Draw Rounds.  Remove 1 point of damage from each Illian card you control.  Search your deck, and take from it one Prophecy card for each Gleeman you control and place them in your hand.
Fifth Squadron	children_of_the_dragon	children_of_the_dragon/fifth_squadron	1			1	Troop	Dragon	Band of the Red Hand				3	Rare 2	03-048 R2	This troop gains +1 Combat for every 3 Band of the Red Hand troops you control.  Shuffle this card from your hand into your deck to search your deck for a non-Fifth Squadron Band of the Red Hand troop and place it in your hand.
Foolbox	children_of_the_dragon	children_of_the_dragon/foolbox		2			Event							Common	03-049 C	Target an advantage with [One Power] in its printed cost or a card in play which forced you to discard 1 or more cards from your hand this turn.  The target is shuffled back into its owner's deck.
Forces of Evil	children_of_the_dragon	children_of_the_dragon/forces_of_evil					Troop	Dark One	Monster				9	Uncommon	03-050 U	There is no cost to recruit this troop.  If you do not shuffle 3 undamaged Monster troops you control back into their owner's deck when you recruit this troop, kill it immediately.
Fourth Squadron	children_of_the_dragon	children_of_the_dragon/fourth_squadron	1				Troop	Dragon	Multiple, Band of the Red Hand				1	Rare 2	03-051 R2	This troop gains +1 Combat for every 6 Band of the Red Hand troops you control.  This troop rolls 2 additional Combat dice when it rolls its Combat dice.  Discard this troop if you control a troop which does not have the Dragon or Mercenary allegiance.
Gai'shain	children_of_the_dragon	children_of_the_dragon/gai_shain	1				Advantage	Character						Common	03-052 C	Target a character you control with only the Aiel allegiance.  As a limited event, rotate this card to remove a point of damage from an Aiel card you control.  While in play, you may shuffle this card back into your deck, or discard it to reduce the cost of the next Aiel characer or troop you recruit by an ability symbol of your choice.  (This reduction comes after all multipliers.)
Goshien Aiel	children_of_the_dragon	children_of_the_dragon/goshien_aiel				3	Troop	Aiel					6	Uncommon	03-053 U	The cost to recruit this troop is increased by [3x Combat] if you do not control Bael.  Whenever an opponent shuffles his deck, remove up to 4 damage from this troop.
Hadnan Kadere	children_of_the_dragon	children_of_the_dragon/hadnan_kadere		2			Character	Mercenary	Dark Nature, Peddler		3		1	Uncommon	03-054 U	May only be recruited by a Villain player.  Pay [One Power] to permanently give Hadnan Kadere the Dark One allegiance.  If you recruited no characters or troops ths turn, you may shuffle 1 card you drew during the Draw Round into your deck and draw a card.
Half-moon Axe	children_of_the_dragon	children_of_the_dragon/half_moon_axe					Advantage	Character	Weapon					Rare 2	03-055 R2	Target Perrin.  He gains +1 Combat and an additional +1 Combat while participating in challenges.  As a limited event, rotate ths card to remove a damage token from Perrin.  While participating in a challenge against 1 or more Monster troops, you may place up to 2 damage on a Monster troop participating in that challenge when Perring rolls his dice.  Shuffle this card from your hand into your deck to search your deck for Perrin Aybara, and place him in your hand.
Han	children_of_the_dragon	children_of_the_dragon/han				4	Character	Aiel	Clan Chief of the Tomanelle Aiel	2			4	Rare 2	03-056 R2	You must control Chief's Chair or Ji'e'toh to recruit this character.  Whenever a Clan Chief you control rotates to heal, he generates [Combat].
He Who Comes With the Dawn	children_of_the_dragon	children_of_the_dragon/he_who_comes_with_the_dawn					Advantage	Player	Prophecy					Uncommon	03-057 U	Requirements: Control 4 or more Wise One characters and/or a Car'a'carn.  Benefits: Once per turn, your Car'a'carn may reroll any of his dice (immediately after making his initial roll; the old results are ignored).  While participating in challenges, all Wise One characters you control roll an additional Intrigue die when they roll their dice.
He Will Bind and Destroy Them	children_of_the_dragon	children_of_the_dragon/he_will_bind_and_destroy_them					Advantage	Player	Prophecy					Uncommon	03-058 U	Requirements: Control 4 or more Clan Chief characters and/or a Car'a'carn.  Benefits: Search your deck for a Clan Chief and a non-Multiple Aiel troop and place them in your hand.  The next Clan Chief and troop you recruit have no cost.  Once per turn, you may kill a Clan Chief you control participating in a challenge after he rolls his dice to generate [4x Support] [4x Opposition] in that challenge.
Herid Fel	children_of_the_dragon	children_of_the_dragon/herid_fel	2				Character	Dragon			1			Rare 2	03-059 R2	May not be the target of advantages.  Once per game, rotate this card to search your deck for a contested advantage which is not a nation contested advantage and place it in your hand.  Rotate to place a control token on a contested advantage you control which is not a nation contested advantage.  While participating in the Last Battle, this character additionally generates [3x Support] when he rolls his dice.
High Lord Darlin Sisnera	children_of_the_dragon	children_of_the_dragon/high_lord_darlin_sisnera	2			1	Character	Tear		2			2	Uncommon	03-060 U	This character gains +1 to all printed abilities if no player controls the Tear nation contested advantage.  If you control Lady Caraline, there is no cost to recruit this character.  You may shuffle this character from your hand into your deck to search your deck for Lady Caraline and place her in your hand.
Illian Tall Ships	children_of_the_dragon	children_of_the_dragon/illian_tall_ships	1			1	Troop	Illian	Multiple				3	Common	03-061 C	This troop gains +1 Combat if you control the Illian nation contested advantage, or +2 Combat if you control it by 5 or more.
Incite Rebellion	children_of_the_dragon	children_of_the_dragon/incite_rebellion					Challenge							Common	03-062 C	May not be placed in your opening hand.  Target a player.  If successful, this challenge becomes a player advantage targeting him with the following text: The cost for you to pay advantage cards is increased by [Politics] [Intrigue] [Combat].  (This includes advantages which have no printed cost.) Any player may convert 2 Pattern to shuffle this card back into its owner's deck.  If any player has at least 4 more Pattern than the target of this advantage, discard this card.
Indirian	children_of_the_dragon	children_of_the_dragon/indirian				4	Character	Aiel	Clan Chief of the Codarra Aiel	2	1		4	Rare 2	03-063 R2	You must control Chief's Chair or Ji'e'toh to recruit this character.  Once per turn, if Indirian is participating in a challenge, rotate a Multiple Monster participating in the same challenge for no effect.
Isendre	children_of_the_dragon	children_of_the_dragon/isendre		1			Character	Mercenary	Dark Nature, Peddler		2			Uncommon	03-064 U	May only be recruited by a Villain player.  If Isendre participated in the Pattern challenge this turn and you gained a Pattern from the Pattern challenge, all characters and troops you control participating in card-based challenges this turn additionally generate [Support] [Opposition] when they roll their dice.
Janwin	children_of_the_dragon	children_of_the_dragon/janwin				4	Character	Aiel	Clan Chief of the Shiande Aiel	2	1		4	Rare 2	03-065 R2	You must control Chief's Chair or Ji'e'toh to recruit this character.  Rotate Janwin to move any number of characters you control with the Aiel allegiance from your homefront to the battleground.
Jheran	children_of_the_dragon	children_of_the_dragon/jheran				4	Character	Aiel	Clan Chief of the Shaarad Aiel	2			4	Rare 2	03-066 R2	You must control Chief's Chair or Ji'e'toh to recruit this character.  Once per turn, as a limited event, discard a card from your hand and target Jheran to have him generate [2x Combat].
Ji'e'toh	children_of_the_dragon	children_of_the_dragon/ji_e_toh					Advantage	Player	Starting Advantage					Common	03-067 C	You may not play this card if you control Chief's Chair, Sweat Tents, or Maidens of the Spear advantage.  Discard the Chief's Chair, Sweat Tents, and/or Maidens of the Spear advantages if you control them.  You may not control more than 3 Clan Chief, 4 Maiden of the Spear, and 4 Wise One characters.
Jolien	children_of_the_dragon	children_of_the_dragon/jolien		1		2	Character	Aiel	Maiden of the Spear, Nakai Aiel				3	Uncommon	03-068 U	You must control Maidens of the Spear or Ji'e'toh to recruit this character.  Symbols generated by this character may not be used to recruit.  When you recruit Jolien, you may search your deck for an Aiel troop and place it in your hand.
Lady Basene	children_of_the_dragon	children_of_the_dragon/lady_basene					Advantage	Character						Rare 2	03-069 R2	Target Graendal if she is your starting character: she gains +1 Intrigue.  Any troop you recruit gains the Dark One allegiance.  Graendal is considered to have all allegiances for the purpose of challenge participation.
Lady Caraline	children_of_the_dragon	children_of_the_dragon/lady_caraline	1	2			Character	Cairhien		2	2			Uncommon	03-070 U	Lady Caraline gains +1 to all printed abilities if no player controls the Cairhien nation contested advantage.  If you control High Lord Darlin Sisnera, there is no cost to recruit this character.  You may shuffle this card from your hand into your deck to search your deck for High Lord Darlin Sisnera, and place him in your hand.
Lay of the Land	children_of_the_dragon	children_of_the_dragon/lay_of_the_land					Advantage	Player	Starting Advantage					Common	03-071 C	Once per game, search your deck for a Terrain card and place it in your hand.  You may target the Pattern challenge with Terrain cards.  If you targeted a challenge with a Terrain card, your starting character additionally generates [Support] [Opposition] when he rolls his dice while participating in the target challenge.
Lead by Example	children_of_the_dragon	children_of_the_dragon/lead_by_example	1				Advantage	Player						Common	03-072 C	Rotate and target a non-starting charcter with a printed Combat ability controlled by an opponent.  While the target is not participating in a challenge this turn, his effect text is blanked.
Liah	children_of_the_dragon	children_of_the_dragon/liah		1		1	Character	Aiel	Maiden of the Spear, Chareen Aiel		1		3	Uncommon	03-073 U	You must control Maidens of the Spear or Ji'e'toh to recruit this character.  Symbols generated by this character may not be used to recruit.  While participating in a non-Last Battle challenge, rotate and kill Liah to generate a number of [Support] [Opposition] in the challenge equal to the number of Maiden of the Spear characters you control (not including Liah) participating in the same challenge.
Lian	children_of_the_dragon	children_of_the_dragon/lian	3				Character	Aiel	Light Nature, Roofmistress of Cold Rocks Hold, Taardad Aiel	3				Rare 2	03-074 R2	May only be recruited by a Hero player.  Cannot participate in challenges.  Lian additionally generates [Politics] when she rolls her dice.  If there are 10 or more total Pattern in the game, you may recruit Rhuarc as if your Pattern were 5 higher.  Lian may pay [2x Politics] to generate [Intrigue] or [Combat].
Lines of Command	children_of_the_dragon	children_of_the_dragon/lines_of_command					Advantage	Player	Starting Advantage					Common	03-075 C	No opponent may have more than 10 troops participating in all challenges in a given turn unless he has 5 or more characters in play and/or in his killed pile.  No opponent may have more than 10 characters participating in all challenges in a given turn unless he has 5 or more troops in play and/or in his killed pile.
Lines of Support	children_of_the_dragon	children_of_the_dragon/lines_of_support				1	Advantage							Rare 2	03-076 R2	Target a character or troop you control with a printed Combat ability.  Your maximum hand size is increased by +1.   While you control 3 copies of this card, the targets must participate in the Pattern challenge each turn (if possible), and you may rotate all 3 copies of this card to draw an additional card during the Draw Round this turn.
Lord Marac den Norvin	children_of_the_dragon	children_of_the_dragon/lord_marac_den_norvin	2	1			Character	Illian	Council of Nine	3	1		1	Uncommon	03-077 U	May not be recruited if Lord Brend is in play.  If Lord Brend is played, discard this character.  Once per turn, a Council of Nine character you control may rotate as a limited event to remove up to 3 damage tokens from himself.
Lord of the Morning	children_of_the_dragon	children_of_the_dragon/lord_of_the_morning					Character	Dragon		3		4	2	Rare 1	03-078 R1	Replace Rand al'Thor.  Gain a Pattern when you fulfill the Requirements of a non-Repeatable Prophecy you control.  When any player recruits a Forsaken, place an Enemy token on this card.  This character rolls an additional One Power die when he rolls his One Power for each Enemy token on this card.  This card does not count as a character card for starting hand selection purposes.
Maiden Handtalk	children_of_the_dragon	children_of_the_dragon/maiden_handtalk					Event							Common	03-079 C	Target a non-Last Battle challenge during the Declare Challenges phase.  You may only participate in the challenge with Maiden of the Spear cards.  All other players may only participate in the challenge with characters.  If you have no participants in that challenge, any opponent may reinforce the challenge with troops he controls as if they had Reinforcement.
Maidens of the Spear	children_of_the_dragon	children_of_the_dragon/maidens_of_the_spear					Advantage	Player	Starting Advantage					Common	03-080 C	Discard all Clan Chief and Wise One characters you control.  Maiden of the Spear characters you control may use their ability symbols to recruit Aiel troops.  Maiden of the Spear cards you control have Reinforcement.  As a limited event, move a Maiden of the Spear card you control from your homefront to the battleground.
Maira	children_of_the_dragon	children_of_the_dragon/maira				2	Character	Aiel	Maiden of the Spear, Tomanelle Aiel				3	Uncommon	03-081 U	You must control Maidens of the Spear or Ji'e'toh to recruit this character.  Symbols generated by this character may not be used to recruit.  Rotate 2 Maiden of the Spear characters you control participating in the same challenge to target a non-starting character or troop participating in that challenge.  The target is rotated for no effect.
Mandarb	children_of_the_dragon	children_of_the_dragon/mandarb					Advantage	Character						Common	03-082 C	Target Faile or Lan Mandragoran.  If this targets Lan Mandragoran, he gains +1 Combat and Reinforcement.  If this targets Faile, she gains +1 Intrigue and when played you may immediately search your deck for a Concealed Dagger and play it on Faile for no cost.  Shuffle this card from your hand into your deck to search your deck for Lan Mandragoran, place him in your hand, and you may recruit him this turn as if he had the Dragon allegiance.
Mandelain	children_of_the_dragon	children_of_the_dragon/mandelain				4	Character	Aiel	Clan Chief of the Daryne Aiel	3			4	Rare 2	03-083 R2	You must control Chief's Chair or Ji'e'toh to recruit this character.  If Mandelain is the only character you control participating in a challenge, he cannot be assigned damage, and any [Damage] generated by him is negated.
Mangin	children_of_the_dragon	children_of_the_dragon/mangin				1	Character	Aiel	Stone Dog, Taardad Aiel				3	Uncommon	03-084 U	Ability symbols generated by this character may not be used to recruit.  Mangin gains +1 Combat while participating in a challenge with a Car'a'carn and/or Clan Chief.  Mangin additionally generates [Damage] when he rolls his dice while participating in a challenge against a character or troop with the Cairhien allegiance.
Manifest Destiny	children_of_the_dragon	children_of_the_dragon/manifest_destiny					Advantage	Player						Common	03-085 C	Immediately discard this card if you control any non-starting characters or troops with the Aes Sedai, Children of the Light, Dark One, or Dragon allegiance.  Choose an allegiance when you play this card.  All non-starting characters you control with the chosen allegiance, whose highest printed ability is 2 or less, gain +1 to all printed non-One Power abilities.  All troops you control with the chosen allegiance gain +1 to all printed abilities of 3 or less.  Once per game, search your deck for a nation contested advantage and place it in your hand.
