Name	Set	ImageFile	Politics_Cost	Intrigue_Cost	One_Power_Cost	Combat_Cost	Type	Subtype/Allegiance	Attribute	Politics_Ability	Intrigue_Ability	One_Power_Ability	Combat_Ability	Rarity	Collector	Text
Dangerous Liaisons	Premier	01-050_dangerous_liaisons		2			Advantage	Player						Rare	01-050 R	You may pay [Intrigue Icon] as a limited event to place a reserve token on this card.  You may remove two reserve tokens as a limited event to add one [Intrigue Icon] to your pool.  This symbol has the allegiance(s) of your starting character.
Dark Dreams	Premier	01-051_dark_dreams			1		Advantage	Player						Rare	01-051 R	This card may only be played by a Villain player.  You may discard this card as an event and target a card-based challenge.  It gains 2 additional opposition.
Darkfriend	Premier	01-052_darkfriend		1			Advantage	Character						Fixed	01-052 F	Target a character you control with a dark nature.  He gains the Dark One allegiance.
Darkfriend Band	Premier	01-053_darkfriend_band		1			Troop	Dark One	Multiple				2	Uncommon	01-053 U	The Darkfriend Band is recruited into your battleground, and has Reinforcement on the turn it is recruited.
Darkhound Pack	Premier	01-054_darkhound_pack			2	2	Character	Dark One	Monster, Multiple, Reinforcement				3	Rare	01-054 R	You cannot control more than one Darkhound pack at a time.  Symbols generated by this character may not be used for recruiting.  This character cannot be the target of advantages.  Any character that takes damage from a Darkhound Pack and is not completely healed by the end of the turn is killed.
Debt of Honor	Premier	01-055_debt_of_honor					Challenge							Fixed	01-055 F	Target a character you control.  If you succeed, this challenge becomes a character advantage targeting him.  While the target of the advantage is ready, your starting Hero or Villain gains the target's allegiance(s).  If you do not succeed, your starting Hero or Villain takes one point of damge, and the target is killed.
Decisive Tactics	Premier	01-056_decisive_tactics					Event							Fixed	01-056 F	Play this card during the Opening Moves or Coming to Grips step of a challenge.  For each [Combat Icon x2] you pay, apply one [Support Icon] or [Opposition Icon] to the challenge.
Defensive Measures	Premier	01-057_defensive_measures					Event							Common	01-057 C	Target one or more ready troops you control that are participating in the same challenge.  Pay [Combat Icon x2] for each target.  For each [Opposition Icon] the roll, they generate an additional [Opposition Icon]. [CLARIFICATION: Defensive Measures may be played in the Action Round. It may be played during one challenge while targetting troops in a different challenge. It can not be played during the Coming to Grips phase. Defensive Measures may not be used in the Last Battle - 02.13.2000 - ERRATA]
Dense Fog	Premier	01-058_dense_fog					Event							Common	01-058 C	Target a challenge.  For each [One Power Icon] you pay, all players except you must remove one token from their character damage pools and from their troop damage pools during each step of the challenge.
Dense Forest	Premier	01-059_dense_forest					Event		Terrain					Fixed	01-059 F	Target a card-based challenge.  Only one terrain event may target each challenge.  No cards may reinforce the challenge.  Before damage is applied, remove two points of damage from all player's character damage pools.
Disband	Premier	01-060_disband					Event							Common	01-060 C	Discard a troop you control.  Add a number of symbols to your pools equal to the recruit cost of the discarded troop.  These symbols have the same allegiance as the discarded troop.
Distractions	Premier	01-061_distractions					Event							Common	01-061 C	Target a troop participating in a challenge.  For each [Intrigue Icon] you pay, it must roll one die less than normal. [CLARIFICATION: Distractions may be played at any time you could normally play an event, limited to times when there are troops participating in a challenge. - 06.27.2000 - ERRATA]
Draghkar	Premier	01-062_draghkar			1	1	Character	Dark One	Monster, Multiple, Reinforcement				2	Rare	01-062 R	You must have 5 pattern to recruit a Draghkar.  This character cannot be the target of advantages.  Whenever Draghkar rolls dice ignore all results.  Whenever Draghkar rolls dice he generates [Damage Icon] [Damage Icon].
Dragon Banner	Premier	01-063_dragon_banner			2		Advantage	Player						Rare	01-063 R	Can only target a Hero player.  Pay [Politics Icon] as a limited event and target a character you control.  The target permanently gains the Dragon allegiance.  Each of your Dragon characters participating in a challenge initiated by the Horn of Valere contested advantage automatically generate one additional support.
Dragonsworn	Premier	01-064_dragonsworn					Troop	Dragon	Multiple				2	Rare	01-064 R	There is no cost to bring the Dragonsworn into play.
Driven	Premier	01-065_driven					Event							Rare	01-065 R	Target one or more trolloc troops you control that are participating in the same challenge.  For each troop targeted, put a damage token on it and it generates one [Support icon].
Duel	Premier	01-066_duel					Event							Common	01-066 C	Target a ready character.  Select a character you control with the same allegiance as the target.  Each character rolls his dice and applies any [Damage Icon] (other results are ignored).  The target can rotate for no effect to ignore this card.
Eamon Valda	Premier	01-067_eamon_valda	1	1		2	Character	Children of the Light	Lord Captain	1	2		3	Uncommon	01-067 U	Rotate Eamon Valda to remove one token from a contested advantage.
Earth Blast	Premier	01-068_earth_blast			2		Event							Uncommon	01-068 U	Play this card during the Opening Moves or Coming to Grips step of a challenge.  Target a character participating in that challenge.  The target takes a point of damage and may not ready next turn.
Egwene al'Vere	Premier	01-069_egwene_alvere			1		Character	Aes Sedai	Novice, Light Nature			1		Fixed	01-069 F	If Egwene rolls a number of [One Power Icon] equal to her permanent One Power ability, she gains +1 One Power permanently, to a maximum of three.
Egwene the Accepted	Premier	01-070_egwene_the_accepted					Character	Aes Sedai	Accepted, Dreamwalker, Light Nature	1	2	2		Rare	01-070 R	Replace Egwene al'Vere when she has a permanent One Power of at least two.  If Egwene rolls a number of [One Power Icon] equal to her permanent One Power ability, she gains +1 One Power permanently, to a maximum of three.
Elaida Sedai	Premier	01-071_elaida_sedai	1	1	2		Character	Aes Sedai	Red Ajah	2	2	3		Rare	01-071 R	If Elaida rolls a number of [One Power Icon] equal to her permanent One Power ability, she must look at the top five cards of any players' deck; reveal two of them to all players, and place them back on top of the deck in the same order.
Elayne Trakand	Premier	01-072_elayne_trakand	2				Character	Andor	Light Nature, Daughter-Heir	2		1		Fixed	01-072 F	The Dragon Reborn does not cause an allegiance penalty when paying any of the cost to recruit Elayne.
Elyas	Premier	01-073_elyas	1			2	Character	Mercenary	Wolfbrother		1		3	Rare	01-073 R	Elyas cannot be controlled by a Villain player.  Rotate Elyas to retrieve a Wolf troop from your deck and place it in your hand.
Establish Contacts	Premier	01-074_establish_contacts					Advantage	Character						Uncommon	01-074 U	Target a Forsaken character.  He gains +1 Intrigue.
Exiled	Premier	01-075_exiled					Challenge							Uncommon	01-075 U	Target a character and select an allegiance of that character.  Only characters of the selected allegiance may participate in this challenge.  If you succeed by at least the character's cost or highest ability, whichever is greater, remove that allegiance from the target.
Expendable Troops	Premier	01-076_expendable_troops				1	Event							Common	01-076 C	Target a challenge.  This event acts as if it were a mercenary troop participating in that challenge with 2 Combat ability.  Discard this card after the challenge resolves.
Fade	Premier	01-077_fade		1		1	Character	Dark One	Monster, Multiple, Myrddraal		1		3	Fixed/Common	01-077 F/C	This card cannot participate in challenges until there are at least four tokens on your section of the Pattern.
Fall Back	Premier	01-078_fall_back					Event							Common	01-078 C	Target a character you control.  Put a number of recovery tokens on the target equal to the number of damage tokens on him, then remove all damage from the target.  Rotate the target for no effect.  The target cannot ready while recovery tokens remain on him.  Remove one recovery token at the end of each ready round.
Far Reaching Influence	Premier	01-079_far_reaching_influence					Advantage	Character						Common	01-079 C	Target a character with Politics.  The target gains +1 Politics.  If the target ever participates in a card-based challenge you initiate but do not succeed at, discard this advantage.
Fireball	Premier	01-080_fireball			1		Event							Fixed	01-080 F	Play this card during the Opening Moves or Coming to Grips step of a challenge.  Target a character or troop participating in that challenge.  Put one point of damage on the target.
Flanking Maneuvers	Premier	01-081_flanking_maneuvers					Challenge							Uncommon	01-081 U	Only cards with Reinforcement may participate in this challenge.  No cards can reinforce this challenge.  If you succeed by three or more, add one token to your section of the Pattern.
Flowing Coffers	Premier	01-082_flowing_coffers					Challenge							Common	01-082 C	If you succeed, this challenge becomes a player advantage targeting you.  For each point by which you succeed, place a wealth token on this card.  You may remove one wealth token to reduce the cost of a mercenary character or troop by one ability of your choice.  Discard the advantage when there are no tokens remaining.
Forced Back	Premier	01-083_forced_back					Challenge							Common	01-083 C	Target a non-Hero, non-Villain character you do not control.  If you succeed, this challenge becomes a character advantage on the target.  The effect text of the target is ignored.
Forced March	Premier	01-084_forced_march				2	Advantage	Player						Rare	01-084 R	When you recruit a troop, you may pay [Combat Icon] in addition to its cost to bring that troop into play in your battleground 9rather than in your home front).  You may pay an additional [Combat Icon] to give the troop Reinforcement until the end of the turn.
Fortress of Light	Premier	01-085_fortress_of_light					Advantage	World	Contested Advantage					Rare	01-085 R	Only characters and troops with the Children of the Light allegiance may participate in challenges initiated by this contested advantage. An opponent may not target a card you control with an event that has a printed (One Power) cost unless he first pays a (One Power). During the Opening Moves step of a Last Battle challenge, you generate (support, support, opposition, opposition) for each contested advantage you control. [08.21.2001 - ERRATA]
Forward Scouts	Premier	01-086_forward_scouts				1	Troop	Mercenary	Multiple				1	Uncommon	01-086 U	While participating in a challenge, this card may rotate as an event to give another troop Reinforcement.  That troop may only reinforce the challenge in which this card is participating.
From the Shadows	Premier	01-087_from_the_shadows					Challenge							Uncommon	01-087 U	Only Intrigue may be rolled in this challenge.  If you succeed, add a token to your section of the Pattern.
Further Demands	Premier	01-088_further_demands					Advantage							Common	01-088 C	Target a mercenary character or troop.  Rotate the target for no effect.  It may not ready.  The controller of the card may discard this advantage by paying the cost of the targeted card as a limited event.
Further Goals	Premier	01-089_further_goals					Event	Limited						Rare	01-089 R	Target a card-based challenge you initiated.  If you win the challenge by 7 or more, add a token to your section of the Pattern.
Future Returns	Premier	01-090_future_returns	1	1	1	1	Advantage	Player						Rare	01-090 R	Pay any ability symbol as a limited event to place an investment token on this card. Rotate this card and remove 5 investment tokens to draw a card. (Same printed cost) [05.27.2000 - ERRATA]
Gaining An Advantage	Premier	01-091_gaining_an_advantage					Challenge							Fixed	01-091 F	If you succeed, this challenge becomes a player advantage targeting you.  You may discard it as an event to generate [Politics Icon] [Intrigue Icon] [Combat Icon].  These symbols have all allegiances.
Galldrian su Riatin Rie	Premier	01-092_galldrian_su_riatin_rie	2	3			Character	Cairhien	King of Cairhien	3	3		1	Rare	01-092 R	You must have 5 Pattern to recruit Galldrian.  While you control Galldrian, all Cairhien characters you control gain +1 Intrigue.
Gareth Byrne	Premier	01-093_gareth_byrne	3			2	Character	Andor	Light Nature	2	1		3	Rare	01-093 R	While you control Gareth Byrne, Andor troops you control gain +1 combat.
Gateway	Premier	01-094_gateway					Event	Limited						Uncommon	01-094 U	Target one character or troop per [One Power Icon x2] you pay.  Each target is readied, moved to the battleground and gains Reinforcement (until the end of the turn).
Gather Allies	Premier	01-095_gather_allies					Challenge							Fixed	01-095 F	No troops may participate in this challenge.  If you succeed, add one token to your section of the Pattern.
Gather Support	Premier	01-096_gather_support					Challenge							Common	01-096 C	Choose Politics, Intrigue or Combat.  For each one by which you succeed, one symbol of that type is added to your pool at the beginning of the next action round.  The symbols added have no allegiance.
Gaul	Premier	01-097_gaul		1		1	Character	Aiel	Light Nature, Stone Dog, Shaarad Aiel				3	Uncommon	01-097 U	Symbols generated by this character may not be used for recruiting.  Gaul gains +1 Combat while he is damaged.  Gaul generates one [Combat Icon] when he participates in a challenge.
Geofram Bornhald	Premier	01-098_geofram_bornhald	2			2	Character	Children of the Light	Lord Captain	2			3	Rare	01-098 R	Rotate Geofram to find the top challenge card in your deck and place it in your hand.
Graendal (I) portal	Premier	01-099_graendal_(i)_portal					Character	Dark One	Starting Villain, Forsaken	2	1	4		Rare	01-099 R	Any character you recruit gains the Dark One allegiance.
Gray Man	Premier	01-100_gray_man		1	1		Character	Dark One	Multiple		1		1	Uncommon	01-100 U	You cannot use ability symbols rolled by Gray Man to recruit.  Gray Man's abilities cannot be increased.  As an event, rotate Gray Man and target a character.  Roll Gray Man's dice and apply any [Damage Icon] to the target.  The target may then roll his dice and apply any [Damage Icon] to Gray Man.
Guarded by Fate	Premier	01-101_guarded_by_fate					Event							Rare	01-101 R	Target a character who has damage greater than or equal to his highest Permanent ability.  Remove damage from the target until it has one less damage than its highest Permanent ability.  [05.27.2000 - ERRATA]
Halfman	Premier	01-102_halfman		1		2	Character	Dark One	Monster, Multiple, Myrddraal				2	Rare	01-102 R	All trolloc troops you control participating in the same challenge as the Halfman gain +1 Combat.  You can only use this bonus from one Halfman for each 3 tokens you have on your section of the Pattern.
Hampered	Premier	01-103_hampered		1			Event							Common	01-103 C	Target a ready character or troop card controlled by another player.  The target cannot use its effect text this turn.
Harassment	Premier	01-104_harassment					Event							Common	01-104 C	Target one character or troop with Reinforcement for each [Intrigue Icon] you pay.  The targets lose their Reinforcement ability.
Healing	Premier	01-105_healing			1		Event							Fixed	01-105 F	Remove one point of damage from a troop card, or all damage from a character card.
Heavy Armor	Premier	01-106_heavy_armor				1	Advantage	Troop						Common	01-106 C	As an event, rotate this card to remove one point of damage from the opponent's troop damage pool in any challenge in which the target is participating.
Heavy Fighting	Premier	01-107_heavy_fighting					Event							Common	01-107 C	Target a challenge.  All troops participating in that challenge gain +1 Combat ability until the challenge is resolved.
Herb Bag	Premier	01-108_herb_bag					Advantage	Character						Uncommon	01-108 U	Rotate this advantage as a limited event while the target is at the home front and select a character you control at the home front.  Remove 1 point of damage from the selected character.
Heroic Efforts	Premier	01-109_heroic_efforts					Event							Fixed	01-109 F	Remove any number of tokens from your character damage pool.  For each token removed, add one token to your troop damage pool.
Heron-Mark Blade	Premier	01-110_heron-mark_blade				2	Advantage	Character	Weapon					Rare	01-110 R	Target a non-Aiel, non-monster character with 4 or more Combat ability, or the Dragon Reborn.  That character gains +1 Politics ability, and may rotate this advantage while he is participating in a challenge to add one point of damage to your character damage pool.
Hidden Discoveries	Premier	01-111_hidden_discoveries	1	1	1	1	Advantage	Player						Rare	01-111 R	As an event, name a specific type of advantage (such as player advantage), rotate this card, and pay [One Power Icon].  Find the top advantage of that type in your deck and place it in your hand.
Hidden Spies	Premier	01-112_hidden_spies					Event							Common	01-112 C	This card may only be played by a Villain player.  Target another player.  Look at the top 5 cards of his deck.  You may then shuffle his deck.
High Lady Alteima	Premier	01-113_high_lady_alteima	2				Character	Tear		2	2			Uncommon	01-113 U	Pay [Intrigue Icon] and target a player.  That player must shuffle his deck.
High Lady Estanda	Premier	01-114_high_lady_estanda	1	1			Character	Tear		2	2			Common	01-114 C	
High Lord Aracome	Premier	01-115_high_lord_aracome	2			1	Character	Tear		2	1		1	Uncommon	01-115 U	Each Ready round while you control High Lord Aracome, you may target a troop you control.  That troop gains Reinforcement until you target another troop or rotate High Lord Aracome.
High Lord Geuyam	Premier	01-116_high_lord_geuyam	2			1	Character	Tear		2	1		2	Common	01-116 C	
High Lord Meilan	Premier	01-117_high_lord_meilan	2	2			Character	Tear		2	3		1	Rare	01-117 R	While participating in a challenge, any ability symbols rolled by High Lord Meilan are ignored.  For each [Support Icon] or [Opposition Icon] High Lord Meilan rolls, he generates an additional symbol of the same type.
High Lord Samon	Premier	01-118_high_lord_samon					Advantage	Character						Uncommon	01-118 U	May only target High Lord Be'lal.  High Lord Be'lal gains the Tear allegiance. [02.13.2000 - ERRATA]
High Lord Torean	Premier	01-119_high_lord_torean	1	1			Character	Tear		1	2			Common	01-119 C	You may use any [Intrigue Icon] rolled by High Lord Torean as a [Politics Icon] instead.
High Lord Weiramon	Premier	01-120_high_lord_weiramon	1			1	Character	Tear		2			3	Rare	01-120 R	While participating in a challenge, High Lord Weiramon may only roll his Combat dice if one or more Tear troops you control are participating in that challenge.  For each [Combat Icon] he rolls in a challenge, you must place a point of damage on one of your participating troops.
High Stakes	Premier	01-121_high_stakes					Event							Rare	01-121 R	Play this event during the ready round.  The player who wins the Pattern challenge may also move a neutral token to his section of the Pattern.
Hired Agent	Premier	01-122_hired_agent		1			Character	Mercenary	Multiple		1			Common	01-122 C	
Horn of Valere	Premier	01-123_horn_of_valere					Advantage	World	Contested Advantage, Unique					Rare	01-123 R	The first player to control this advantage by 20 or more adds two tokens to his section of the Pattern and places it on a character they control as a character advantage.  If you control this advantage during the Last Battle, each [Support Icon] you roll also counts as a [Damage Icon]. [CLARIFICATION: To control the Horn of Valere, you must have 20 more tokens than any other single player. Once you control it, it is no longer a Contested Advantage. There is no loss of pattern for discarding or otherwise losing Horn of Valere. - 06.27.2000 - ERRATA]
Hostile Terrain	Premier	01-124_hostile_terrain					Event		Terrain					Common	01-124 C	Target a card-based challenge.  Only one terrain event may target each challenge.  A player must pay [Combat Icon] for each troop he wishes to use its Reinforcement trait.  If any troop takes damage during the challenge, it takes an additional point of damage after the challenge is resolved.
House Guards	Premier	01-125_house_guards	1	1			Troop	Cairhien	Multiple				3	Rare	01-125 R	If a Cairhien character you control takes any damage while participating in a challenge with House Guards, you may apply the damage to this card instead.  You cannot use this effect while this card has damage greater than or equal to its Combat Permanent ability. [06.27.2000 - ERRATA]
Human Rabble	Premier	01-126_human_rabble		1			Troop	Mercenary	Dark Nature, Multiple				2	Fixed	01-126 F	Human Rabble may participate in challenges with monster characters and troops you control.
Hunting Trollocs	Premier	01-127_hunting_trollocs					Challenge							Common	01-127 C	Target a monster troop.  If you succeed by at least the current Combat ability of the target, discard it.
Illusion	Premier	01-128_illusion					Event							Uncommon	01-128 U	Play this card during the Opening Moves step of a challenge and target another player.  For each [One Power Icon] you pay, you may remove one token from the target's support, opposition or character damage pool.
